CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600000,Surname_0,452,France,Female,66,6,100539.3392042386,3,0,1,28880.56485368041,0
15600001,Surname_1,785,France,Male,72,6,67568.09039034859,1,0,0,27997.024005862404,1
15600002,Surname_2,698,France,Male,89,8,53871.347634965314,4,1,1,17865.136148816367,1
15600003,Surname_3,620,Germany,Male,77,6,88877.17685770663,4,0,0,113477.54413332048,0
15600004,Surname_4,456,France,Male,74,7,159854.2191908947,1,0,1,92834.12553845905,0
15600005,Surname_5,421,Spain,Female,46,6,237258.6867795727,2,1,0,68397.57844442845,0
15600006,Surname_6,538,Spain,Female,36,10,175945.18419826042,1,1,1,110151.15663947273,1
15600007,Surname_7,370,Germany,Male,90,3,194900.77123639386,3,1,1,105351.2676649715,0
15600008,Surname_8,452,Germany,Male,27,1,76516.74238376255,2,1,0,100037.46281085834,1
15600009,Surname_9,471,Spain,Female,27,2,26173.1206820123,3,0,0,42765.787538022385,0
15600010,Surname_10,816,Germany,Female,74,6,72878.38636728592,4,0,1,180420.6057930942,1
15600011,Surname_11,564,France,Female,71,10,100663.55283487249,3,0,0,127804.68382157356,0
15600012,Surname_12,680,France,Female,73,10,172470.3366192542,1,0,0,34185.37222558777,0
15600013,Surname_13,808,Spain,Female,85,8,234839.6417576061,4,0,1,58537.89809395178,0
15600014,Surname_14,437,France,Male,86,10,202323.12858913673,2,1,1,155271.20609584145,0
15600015,Surname_15,722,France,Female,72,1,66600.07139752999,1,0,1,157518.18129099268,0
15600016,Surname_16,449,Germany,Male,86,6,205075.17034264636,4,1,0,147890.5439526383,0
15600017,Surname_17,709,Spain,Male,89,3,102936.69381372698,2,0,0,160188.59037735904,0
15600018,Surname_18,501,France,Female,18,6,43859.70465852304,4,1,1,123658.46492825262,0
15600019,Surname_19,480,Germany,Male,29,4,115313.3721424444,2,0,0,64866.45521673368,0
15600020,Surname_20,499,France,Male,52,6,140805.13631317636,2,0,0,77956.0174273261,0
15600021,Surname_21,658,Germany,Female,91,5,190851.27733956114,3,1,0,106831.31265782336,0
15600022,Surname_22,607,France,Male,50,1,87474.122927023,1,1,1,56744.35613144699,0
15600023,Surname_23,693,France,Female,42,6,36694.830259682894,2,1,0,172129.60724281863,0
15600024,Surname_24,841,Spain,Female,33,4,23588.38682295061,2,1,0,151921.45784887293,0
15600025,Surname_25,763,France,Male,25,8,28111.495850210777,3,0,1,196201.16086132932,0
15600026,Surname_26,643,Germany,Female,52,10,237505.85491939713,2,0,0,88898.8861211755,0
15600027,Surname_27,735,France,Female,63,0,237937.81379445895,2,1,1,175445.44289341778,0
15600028,Surname_28,541,France,Male,28,0,242189.1113513358,4,0,0,158033.8817486814,0
15600029,Surname_29,793,Germany,Female,78,1,75622.2171382066,1,1,0,168068.23105283314,0
15600030,Surname_30,626,France,Male,61,7,47903.60513696826,3,0,1,140748.21113699558,0
15600031,Surname_31,510,France,Male,28,10,245228.61822906788,3,1,1,76316.63078756731,1
15600032,Surname_32,809,France,Female,28,8,247066.0225308671,2,1,1,56345.37715599096,1
15600033,Surname_33,663,Germany,Male,39,10,19587.610487578844,2,0,0,61739.33092597276,1
15600034,Surname_34,371,Spain,Female,79,10,188132.02509440403,3,0,0,117727.25233952186,0
15600035,Surname_35,602,Spain,Male,65,6,72165.990328207,2,0,1,177134.3050896724,0
15600036,Surname_36,585,France,Female,80,0,227324.6861037572,2,1,1,95325.55511603782,0
15600037,Surname_37,694,France,Female,68,6,22306.254013558402,4,0,0,123781.33883348809,0
15600038,Surname_38,398,France,Male,62,7,222144.43395916928,3,0,0,149422.17967076402,0
15600039,Surname_39,824,Spain,Male,50,6,655.3164796406774,2,1,1,172500.43177502198,0
15600040,Surname_40,408,France,Female,77,4,130494.46825472718,1,0,0,133212.1182223151,1
15600041,Surname_41,519,Spain,Female,19,6,83890.9618752833,2,1,1,129568.19750005184,0
15600042,Surname_42,825,France,Male,30,9,106833.4384160263,4,0,0,197642.56007328664,0
15600043,Surname_43,537,Spain,Female,83,10,108446.14281649317,4,1,0,173859.00042795777,0
15600044,Surname_44,813,Spain,Female,74,1,163400.78978392167,3,1,0,149349.3707449918,0
15600045,Surname_45,620,Spain,Male,60,8,5774.28082665718,4,0,0,168069.01187836865,0
15600046,Surname_46,539,France,Male,62,1,172841.02706310732,4,0,0,199980.05784209393,1
15600047,Surname_47,795,France,Female,48,1,5549.532257633188,1,0,1,106086.6856184202,0
15600048,Surname_48,524,France,Male,27,4,46318.440081878354,4,1,1,144051.27506881644,0
15600049,Surname_49,795,France,Male,40,7,151685.41288908623,2,0,1,164548.12013394057,0
15600050,Surname_50,400,France,Female,46,5,21609.358985490213,4,1,1,94396.27588723692,0
15600051,Surname_51,713,Germany,Male,48,8,247725.91478829877,1,0,1,191438.0436340713,1
15600052,Surname_52,404,France,Male,91,5,196096.02204299375,3,1,1,82621.25480677396,0
